species,chronotype
Pan_troglodytes,diurnal
Equus_caballus,diurnal
Bos_taurus,diurnal
Acinonyx_jubatus,diurnal
Gorilla_gorilla_gorilla,diurnal
Homo_sapiens,diurnal
Ictidomys_tridecemlineatus,diurnal
Camelus_bactrianus,diurnal
Ochotona_princeps,diurnal
Arvicanthis_niloticus,diurnal
Sciurus_vulgaris,diurnal
Martes_flavigula,diurnal
Hylobates_pileatus,diurnal
Phacochoerus_africanus,diurnal
Rhynchocyon_petersi,diurnal
Cebus_imitator,diurnal
Plecturocebus_cupreus,diurnal
Xerus_rutilus,diurnal
Nasua_narica,diurnal
Cynomys_ludovicianus,diurnal
Giraffa_tippelskirchi,diurnal
Suricata_suricatta,diurnal
Callithrix_jacchus,diurnal
Vicugna_pacos,diurnal
Nanger_dama,diurnal
Myrmecobius_fasciatus,diurnal
Eira_barbara,diurnal
Aepyceros_melampus,diurnal
Speothos_venaticus,diurnal
Octodon_degus,diurnal
Nycticebus_coucang,nocturnal
Leopardus_geoffroyi,nocturnal
Aotus_nancymaae,nocturnal
Acomys_cahirinus,nocturnal
Microcebus_murinus,nocturnal
Choloepus_hoffmanni,nocturnal
Pipistrellus_pipistrellus,nocturnal
Jaculus_jaculus,nocturnal
Paguma_larvata,nocturnal
Sylvilagus_floridanus,nocturnal
Macrotis_lagotis,nocturnal
Cynocephalus_volans,nocturnal
Saccopteryx_bilineata,nocturnal
Peromyscus_eremicus,nocturnal
Lagorchestes_hirsutus,nocturnal
Sarcophilus_harrisii,nocturnal
Rattus_norvegicus,nocturnal
Dasypus_novemcinctus,nocturnal
Tapirus_terrestris,nocturnal
Uromys_caudimaculatus,nocturnal
Phalanger_gymnotis,nocturnal
Pseudocheirus_occidentalis,nocturnal
Puma_concolor,nocturnal
Panthera_pardus,nocturnal
Hyaena_hyaena,nocturnal
Caracal_caracal,nocturnal
Mirza_zaza,nocturnal
Tragelaphus_eurycerus,nocturnal
Daubentonia_madagascariensis,nocturnal
Orycteropus_afer,nocturnal
