gene,n_total,n_diurnal,n_nocturnal,balance,pct_of_60,flags,missing_diurnal,missing_nocturnal
ARNTL,40,20,20,1.0,66.7,,Aepyceros_melampus;Cynomys_ludovicianus;Eira_barbara;Giraffa_tippelskirchi;Martes_flavigula;Nanger_dama;Nasua_narica;Plecturocebus_cupreus;Speothos_venaticus;Xerus_rutilus,Caracal_caracal;Choloepus_hoffmanni;Daubentonia_madagascariensis;Mirza_zaza;Paguma_larvata;Phalanger_gymnotis;Pipistrellus_pipistrellus;Sylvilagus_floridanus;Tapirus_terrestris;Tragelaphus_eurycerus
BHLHE40,38,19,19,1.0,63.3,LOW_N,Aepyceros_melampus;Cynomys_ludovicianus;Eira_barbara;Giraffa_tippelskirchi;Hylobates_pileatus;Martes_flavigula;Nanger_dama;Nasua_narica;Plecturocebus_cupreus;Speothos_venaticus;Xerus_rutilus,Acomys_cahirinus;Caracal_caracal;Choloepus_hoffmanni;Daubentonia_madagascariensis;Mirza_zaza;Paguma_larvata;Pipistrellus_pipistrellus;Sylvilagus_floridanus;Tapirus_terrestris;Tragelaphus_eurycerus;Uromys_caudimaculatus
BHLHE41,40,20,20,1.0,66.7,,Aepyceros_melampus;Cynomys_ludovicianus;Eira_barbara;Giraffa_tippelskirchi;Martes_flavigula;Nanger_dama;Nasua_narica;Plecturocebus_cupreus;Speothos_venaticus;Xerus_rutilus,Caracal_caracal;Choloepus_hoffmanni;Daubentonia_madagascariensis;Macrotis_lagotis;Mirza_zaza;Paguma_larvata;Pipistrellus_pipistrellus;Puma_concolor;Tapirus_terrestris;Tragelaphus_eurycerus
CLOCK,53,27,26,0.963,88.3,,Aepyceros_melampus;Nanger_dama;Speothos_venaticus,Caracal_caracal;Pipistrellus_pipistrellus;Pseudocheirus_occidentalis;Tapirus_terrestris
CRY1,40,20,20,1.0,66.7,,Aepyceros_melampus;Cynomys_ludovicianus;Eira_barbara;Giraffa_tippelskirchi;Martes_flavigula;Nanger_dama;Nasua_narica;Plecturocebus_cupreus;Speothos_venaticus;Xerus_rutilus,Caracal_caracal;Choloepus_hoffmanni;Daubentonia_madagascariensis;Mirza_zaza;Paguma_larvata;Pipistrellus_pipistrellus;Saccopteryx_bilineata;Sylvilagus_floridanus;Tapirus_terrestris;Tragelaphus_eurycerus
CRY2,54,28,26,0.929,90.0,,Aepyceros_melampus;Nanger_dama,Lagorchestes_hirsutus;Phalanger_gymnotis;Pseudocheirus_occidentalis;Sylvilagus_floridanus
CSNK1D,32,17,15,0.882,53.3,LOW_N,Aepyceros_melampus;Cynomys_ludovicianus;Eira_barbara;Giraffa_tippelskirchi;Hylobates_pileatus;Martes_flavigula;Myrmecobius_fasciatus;Nanger_dama;Nasua_narica;Pan_troglodytes;Plecturocebus_cupreus;Speothos_venaticus;Xerus_rutilus,Acomys_cahirinus;Aotus_nancymaae;Caracal_caracal;Choloepus_hoffmanni;Daubentonia_madagascariensis;Lagorchestes_hirsutus;Mirza_zaza;Paguma_larvata;Phalanger_gymnotis;Pipistrellus_pipistrellus;Pseudocheirus_occidentalis;Sylvilagus_floridanus;Tapirus_terrestris;Tragelaphus_eurycerus;Uromys_caudimaculatus
CSNK1E,39,22,17,0.773,65.0,LOW_N,Cebus_imitator;Cynomys_ludovicianus;Myrmecobius_fasciatus;Nanger_dama;Octodon_degus;Sciurus_vulgaris;Suricata_suricatta;Xerus_rutilus,Acomys_cahirinus;Daubentonia_madagascariensis;Hyaena_hyaena;Jaculus_jaculus;Lagorchestes_hirsutus;Leopardus_geoffroyi;Mirza_zaza;Orycteropus_afer;Phalanger_gymnotis;Pipistrellus_pipistrellus;Pseudocheirus_occidentalis;Sylvilagus_floridanus;Uromys_caudimaculatus
FBXL3,58,28,30,0.933,96.7,,Aepyceros_melampus;Nanger_dama,
NPAS2,44,23,21,0.913,73.3,,Aepyceros_melampus;Hylobates_pileatus;Martes_flavigula;Myrmecobius_fasciatus;Nanger_dama;Speothos_venaticus;Xerus_rutilus,Acomys_cahirinus;Caracal_caracal;Choloepus_hoffmanni;Daubentonia_madagascariensis;Paguma_larvata;Peromyscus_eremicus;Pipistrellus_pipistrellus;Pseudocheirus_occidentalis;Tapirus_terrestris
NR1D1,57,28,29,0.966,95.0,,Myrmecobius_fasciatus;Nanger_dama,Daubentonia_madagascariensis
NR1D2,56,28,28,1.0,93.3,,Aepyceros_melampus;Nanger_dama,Mirza_zaza;Uromys_caudimaculatus
PER1,46,25,21,0.84,76.7,,Eira_barbara;Martes_flavigula;Nanger_dama;Nasua_narica;Speothos_venaticus,Acomys_cahirinus;Caracal_caracal;Choloepus_hoffmanni;Daubentonia_madagascariensis;Hyaena_hyaena;Paguma_larvata;Pipistrellus_pipistrellus;Sylvilagus_floridanus;Tapirus_terrestris
PER2,47,23,24,0.958,78.3,,Aepyceros_melampus;Giraffa_tippelskirchi;Hylobates_pileatus;Nanger_dama;Nasua_narica;Plecturocebus_cupreus;Speothos_venaticus,Caracal_caracal;Choloepus_hoffmanni;Lagorchestes_hirsutus;Mirza_zaza;Orycteropus_afer;Sylvilagus_floridanus
PER3,36,16,20,0.8,60.0,LOW_N,Acinonyx_jubatus;Aepyceros_melampus;Bos_taurus;Camelus_bactrianus;Cynomys_ludovicianus;Giraffa_tippelskirchi;Hylobates_pileatus;Nanger_dama;Nasua_narica;Ochotona_princeps;Plecturocebus_cupreus;Suricata_suricatta;Vicugna_pacos;Xerus_rutilus,Caracal_caracal;Choloepus_hoffmanni;Cynocephalus_volans;Hyaena_hyaena;Mirza_zaza;Paguma_larvata;Panthera_pardus;Pipistrellus_pipistrellus;Sylvilagus_floridanus;Tragelaphus_eurycerus
