species,activity
Acinonyx_jubatus,diurnal
Acomys_cahirinus,nocturnal
Aepyceros_melampus,diurnal
Aotus_nancymaae,nocturnal
Arvicanthis_niloticus,diurnal
Bos_taurus,diurnal
Callithrix_jacchus,diurnal
Camelus_bactrianus,diurnal
Caracal_caracal,nocturnal
Cebus_imitator,diurnal
Choloepus_hoffmanni,nocturnal
Cynocephalus_volans,nocturnal
Cynomys_ludovicianus,diurnal
Dasypus_novemcinctus,nocturnal
Daubentonia_madagascariensis,nocturnal
Eira_barbara,diurnal
Equus_caballus,diurnal
Giraffa_tippelskirchi,diurnal
Gorilla_gorilla,diurnal
Homo_sapiens,diurnal
Hyaena_hyaena,nocturnal
Hylobates_pileatus,diurnal
Ictidomys_tridecemlineatus,diurnal
Jaculus_jaculus,nocturnal
Lagorchestes_hirsutus,nocturnal
Leopardus_geoffroyi,nocturnal
Macrotis_lagotis,nocturnal
Martes_flavigula,diurnal
Microcebus_murinus,nocturnal
Mirza_zaza,nocturnal
Myrmecobius_fasciatus,diurnal
Nanger_dama,diurnal
Nasua_narica,diurnal
Nycticebus_coucang,nocturnal
Ochotona_princeps,diurnal
Octodon_degus,diurnal
Orycteropus_afer,nocturnal
Paguma_larvata,nocturnal
Pan_troglodytes,diurnal
Panthera_pardus,nocturnal
Peromyscus_eremicus,nocturnal
Phacochoerus_africanus,diurnal
Phalanger_gymnotis,nocturnal
Pipistrellus_pipistrellus,nocturnal
Plecturocebus_cupreus,diurnal
Pseudocheirus_occidentalis,nocturnal
Puma_concolor,nocturnal
Rattus_norvegicus,nocturnal
Rhynchocyon_petersi,diurnal
Saccopteryx_bilineata,nocturnal
Sarcophilus_harrisii,nocturnal
Sciurus_vulgaris,diurnal
Speothos_venaticus,diurnal
Suricata_suricatta,diurnal
Sylvilagus_floridanus,nocturnal
Tapirus_terrestris,nocturnal
Tragelaphus_eurycerus,nocturnal
Uromys_caudimaculatus,nocturnal
Vicugna_pacos,diurnal
Xerus_rutilus,diurnal
