GCA_030555615.1	Acomys cahirinus
GCA_006408695.1	Aepyceros melampus
GCA_016801355.1	Caracal caracal
GCA_000164785.2	Choloepus hoffmanni
GCA_052576455.1	Cynomys ludovicianus
GCA_044048945.1	Daubentonia madagascariensis
GCA_020311295.1	Eira barbara
GCA_054371825.1	Giraffa tippelskirchi
GCA_021498465.1	Hylobates pileatus
GCA_028533205.1	Lagorchestes hirsutus
GCA_040938845.1	Martes flavigula
GCA_963573685.1	Mirza zaza
GCA_023553655.1	Myrmecobius fasciatus
GCA_917880005.1	Nanger dama
GCA_028533885.1	Nasua narica
GCA_030068075.1	Paguma larvata
GCA_028646595.1	Phalanger gymnotis
GCA_965204225.2	Pipistrellus pipistrellus
GCA_040437455.1	Plecturocebus cupreus
GCA_028646575.1	Pseudocheirus occidentalis
GCA_023170115.1	Speothos venaticus
GCA_949820135.1	Sylvilagus floridanus
GCA_054859495.1	Tapirus terrestris
GCA_040438115.1	Tragelaphus eurycerus
GCA_028551405.1	Uromys caudimaculatus
GCA_028644305.1	Xerus rutilus
