Pan troglodytes
Equus caballus
Bos taurus
Acinonyx jubatus
Gorilla gorilla gorilla
Homo sapiens
Ictidomys tridecemlineatus
Camelus bactrianus
Ochotona princeps
Arvicanthis niloticus
Sciurus vulgaris
Martes flavigula
Hylobates pileatus
Phacochoerus africanus
Rhynchocyon petersi
Cebus imitator
Plecturocebus cupreus
Xerus rutilus
Nasua narica
Cynomys ludovicianus
Giraffa tippelskirchi
Suricata suricatta
Callithrix jacchus
Vicugna pacos
Nanger dama
Myrmecobius fasciatus
Eira barbara
Aepyceros melampus
Speothos venaticus
Octodon degus
Nycticebus coucang
Leopardus geoffroyi
Aotus nancymaae
Acomys cahirinus
Microcebus murinus
Choloepus hoffmanni
Pipistrellus pipistrellus
Jaculus jaculus
Paguma larvata
Sylvilagus floridanus
Macrotis lagotis
Cynocephalus volans
Saccopteryx bilineata
Peromyscus eremicus
Lagorchestes hirsutus
Sarcophilus harrisii
Rattus norvegicus
Dasypus novemcinctus
Tapirus terrestris
Uromys caudimaculatus
Phalanger gymnotis
Pseudocheirus occidentalis
Puma concolor
Panthera pardus
Hyaena hyaena
Caracal caracal
Mirza zaza
Tragelaphus eurycerus
Daubentonia madagascariensis
Orycteropus afer
