gene,k,replicate,events,n_branches,branch_length,n_sites,power_0.8,power_0.9,power_0.99,median_posterior,max_posterior
CLOCK,2,0,0;6,25,0.2496,200,0.0,0.0,0.0,0.0,0.0
CLOCK,2,1,0;2,25,0.22224,200,0.0,0.0,0.0,0.0,0.0
CLOCK,2,2,4;8,2,0.10601,200,0.0,0.0,0.0,0.0,0.0
CLOCK,3,0,5;6;8,9,0.08677,200,0.0,0.0,0.0,0.0,0.0074
CLOCK,3,1,2;4;9,3,0.08236,200,0.0,0.0,0.0,0.0,0.4145
CLOCK,3,2,1;6;9,3,0.04605,200,0.0,0.0,0.0,0.0,0.0
CLOCK,4,0,4;5;7;8,10,0.14202,200,0.0,0.0,0.0,0.0,0.6959
CLOCK,4,1,2;4;8;9,4,0.11513,200,0.01,0.005,0.0,0.0,0.9744
CLOCK,4,2,0;1;3;5,46,0.27592,200,0.025,0.015,0.0,0.0,0.9878
CLOCK,5,0,0;2;5;7;9,34,0.26626,200,0.055,0.04,0.035,0.0,0.9999
CLOCK,5,1,0;1;3;5;7,47,0.28638,200,0.02,0.015,0.005,0.0,0.9955
CLOCK,5,2,1;2;6;7;8,5,0.08238,200,0.005,0.005,0.005,0.0,1.0
CLOCK,6,0,0;5;6;7;8;9,35,0.32638,200,0.095,0.085,0.07,0.0,1.0
CLOCK,6,1,0;3;4;6;7;8,42,0.38574,200,0.055,0.045,0.02,0.0,1.0
CLOCK,6,2,1;2;3;5;6;8,25,0.11712,200,0.15,0.135,0.11,0.0054,1.0
CLOCK,7,0,2;3;5;6;7;8;9,26,0.12602,200,0.465,0.425,0.275,0.0,1.0
CLOCK,7,1,3;4;5;6;7;8;9,26,0.19815,200,0.015,0.005,0.0,0.0,0.9514
CLOCK,7,2,0;2;3;4;6;7;9,43,0.36208,200,0.345,0.32,0.285,0.0,1.0
CLOCK,8,0,0;1;2;3;4;5;7;9,50,0.36874,200,0.55,0.55,0.55,1.0,1.0
CLOCK,8,1,0;2;3;4;5;6;7;8,50,0.41239,200,0.55,0.55,0.55,0.9999,1.0
CLOCK,8,2,0;1;2;4;5;6;8;9,37,0.39985,200,0.555,0.545,0.505,0.997,1.0
CLOCK,9,0,0;2;3;4;5;6;7;8;9,51,0.4204,200,0.475,0.475,0.475,0.0,1.0
CLOCK,9,1,0;1;2;3;4;5;6;7;9,51,0.3972,200,0.47,0.47,0.47,0.0,1.0
CLOCK,9,2,0;1;2;3;4;5;6;8;9,51,0.41951,200,0.445,0.445,0.445,0.0,1.0
CLOCK,10,0,0;1;2;3;4;5;6;7;8;9,52,0.42997,200,1.0,1.0,1.0,1.0,1.0
