gene,k,replicate,events,n_branches,branch_length,n_sites,power_0.8,power_0.9,power_0.99,median_posterior,max_posterior
CLOCK,2,0,0;6,28,0.26114,200,0.0,0.0,0.0,0.0,0.0
CLOCK,2,1,0;2,28,0.23378,200,0.0,0.0,0.0,0.0,0.0002
CLOCK,2,2,4;8,2,0.10601,200,0.0,0.0,0.0,0.0,0.0
CLOCK,3,0,5;6;8,9,0.08677,200,0.0,0.0,0.0,0.0,0.0
CLOCK,3,1,2;4;9,3,0.08236,200,0.0,0.0,0.0,0.0,0.0
CLOCK,3,2,1;6;9,3,0.04605,200,0.0,0.0,0.0,0.0,0.2394
CLOCK,4,0,4;5;7;8,10,0.14202,200,0.0,0.0,0.0,0.0,0.0
CLOCK,4,1,2;4;8;9,4,0.11513,200,0.0,0.0,0.0,0.0,0.6862
CLOCK,4,2,0;1;3;5,49,0.28746,200,0.0,0.0,0.0,0.0,0.0012
CLOCK,5,0,0;2;5;7;9,37,0.2778,200,0.015,0.005,0.005,0.0,0.9913
CLOCK,5,1,0;1;3;5;7,50,0.29793,200,0.01,0.005,0.0,0.0,0.9686
CLOCK,5,2,1;2;6;7;8,5,0.08238,200,0.025,0.025,0.015,0.0,1.0
CLOCK,6,0,0;5;6;7;8;9,38,0.33793,200,0.035,0.03,0.025,0.0,0.9996
CLOCK,6,1,0;3;4;6;7;8,45,0.39728,200,0.03,0.03,0.025,0.0,0.9998
CLOCK,6,2,1;2;3;5;6;8,25,0.11712,200,0.145,0.125,0.1,0.0001,1.0
CLOCK,7,0,2;3;5;6;7;8;9,26,0.12602,200,0.35,0.325,0.205,0.0,1.0
CLOCK,7,1,3;4;5;6;7;8;9,26,0.19815,200,0.025,0.02,0.015,0.0,1.0
CLOCK,7,2,0;2;3;4;6;7;9,46,0.37363,200,0.445,0.43,0.34,0.0,1.0
CLOCK,8,0,0;1;2;3;4;5;7;9,53,0.38028,200,0.71,0.71,0.71,1.0,1.0
CLOCK,8,1,0;2;3;4;5;6;7;8,53,0.42393,200,0.44,0.44,0.435,0.0,1.0
CLOCK,8,2,0;1;2;4;5;6;8;9,40,0.41139,200,0.58,0.58,0.565,0.9997,1.0
CLOCK,9,0,0;2;3;4;5;6;7;8;9,54,0.43194,200,0.49,0.49,0.49,0.0,1.0
CLOCK,9,1,0;1;2;3;4;5;6;7;9,54,0.40875,200,0.495,0.495,0.495,0.0,1.0
CLOCK,9,2,0;1;2;3;4;5;6;8;9,54,0.43105,200,0.55,0.55,0.55,1.0,1.0
CLOCK,10,0,0;1;2;3;4;5;6;7;8;9,55,0.44152,200,1.0,1.0,1.0,1.0,1.0
