Threshold,dist_bin,power,fpr,n
0.7,"(0.0, 0.2]",1.0,0.0,6
0.7,"(0.2, 0.4]",1.0,0.0,52
0.7,"(0.4, 0.6]",1.0,0.0,64
0.7,"(0.6, 0.8]",1.0,0.0,46
0.7,"(0.8, 1.0]",1.0,0.0,9
0.7,"(1.0, 2.0]",1.0,0.0,3
0.8,"(0.0, 0.2]",1.0,0.0,6
0.8,"(0.2, 0.4]",1.0,0.0,52
0.8,"(0.4, 0.6]",1.0,0.0,64
0.8,"(0.6, 0.8]",1.0,0.0,46
0.8,"(0.8, 1.0]",1.0,0.0,9
0.8,"(1.0, 2.0]",1.0,0.0,3
0.85,"(0.0, 0.2]",1.0,0.0,6
0.85,"(0.2, 0.4]",1.0,0.0,52
0.85,"(0.4, 0.6]",1.0,0.0,64
0.85,"(0.6, 0.8]",1.0,0.0,46
0.85,"(0.8, 1.0]",1.0,0.0,9
0.85,"(1.0, 2.0]",1.0,0.0,3
0.9,"(0.0, 0.2]",1.0,0.0,6
0.9,"(0.2, 0.4]",1.0,0.0,52
0.9,"(0.4, 0.6]",1.0,0.0,64
0.9,"(0.6, 0.8]",1.0,0.0,46
0.9,"(0.8, 1.0]",1.0,0.0,9
0.9,"(1.0, 2.0]",1.0,0.0,3
0.95,"(0.0, 0.2]",1.0,0.0,6
0.95,"(0.2, 0.4]",1.0,0.0,52
0.95,"(0.4, 0.6]",1.0,0.0,64
0.95,"(0.6, 0.8]",1.0,0.0,46
0.95,"(0.8, 1.0]",1.0,0.0,9
0.95,"(1.0, 2.0]",1.0,0.0,3
0.99,"(0.0, 0.2]",1.0,0.0,6
0.99,"(0.2, 0.4]",1.0,0.0,52
0.99,"(0.4, 0.6]",1.0,0.0,64
0.99,"(0.6, 0.8]",1.0,0.0,46
0.99,"(0.8, 1.0]",1.0,0.0,9
0.99,"(1.0, 2.0]",1.0,0.0,3
