gene,Threshold,power,power_min,fpr,fpr_max,n_couples,n_events
ARNTL,0.7,1.0,1.0,0.0,0.0,10,10
ARNTL,0.8,1.0,1.0,0.0,0.0,10,10
ARNTL,0.85,1.0,1.0,0.0,0.0,10,10
ARNTL,0.9,1.0,1.0,0.0,0.0,10,10
ARNTL,0.95,1.0,1.0,0.0,0.0,10,10
ARNTL,0.99,1.0,1.0,0.0,0.0,10,10
BHLHE40,0.7,1.0,1.0,0.0,0.0,10,10
BHLHE40,0.8,1.0,1.0,0.0,0.0,10,10
BHLHE40,0.85,1.0,1.0,0.0,0.0,10,10
BHLHE40,0.9,1.0,1.0,0.0,0.0,10,10
BHLHE40,0.95,1.0,1.0,0.0,0.0,10,10
BHLHE40,0.99,1.0,1.0,0.0,0.0,10,10
BHLHE41,0.7,1.0,1.0,0.0,0.0,10,10
BHLHE41,0.8,1.0,1.0,0.0,0.0,10,10
BHLHE41,0.85,1.0,1.0,0.0,0.0,10,10
BHLHE41,0.9,1.0,1.0,0.0,0.0,10,10
BHLHE41,0.95,1.0,1.0,0.0,0.0,10,10
BHLHE41,0.99,1.0,1.0,0.0,0.0,10,10
CLOCK,0.7,1.0,1.0,0.0,0.0,10,10
CLOCK,0.8,1.0,1.0,0.0,0.0,10,10
CLOCK,0.85,1.0,1.0,0.0,0.0,10,10
CLOCK,0.9,1.0,1.0,0.0,0.0,10,10
CLOCK,0.95,1.0,1.0,0.0,0.0,10,10
CLOCK,0.99,1.0,1.0,0.0,0.0,10,10
CRY1,0.7,1.0,1.0,0.0,0.0,10,10
CRY1,0.8,1.0,1.0,0.0,0.0,10,10
CRY1,0.85,1.0,1.0,0.0,0.0,10,10
CRY1,0.9,1.0,1.0,0.0,0.0,10,10
CRY1,0.95,1.0,1.0,0.0,0.0,10,10
CRY1,0.99,1.0,1.0,0.0,0.0,10,10
CRY2,0.7,1.0,1.0,0.0,0.0,10,10
CRY2,0.8,1.0,1.0,0.0,0.0,10,10
CRY2,0.85,1.0,1.0,0.0,0.0,10,10
CRY2,0.9,1.0,1.0,0.0,0.0,10,10
CRY2,0.95,1.0,1.0,0.0,0.0,10,10
CRY2,0.99,1.0,1.0,0.0,0.0,10,10
CSNK1D,0.7,1.0,1.0,0.0,0.0,10,10
CSNK1D,0.8,1.0,1.0,0.0,0.0,10,10
CSNK1D,0.85,1.0,1.0,0.0,0.0,10,10
CSNK1D,0.9,1.0,1.0,0.0,0.0,10,10
CSNK1D,0.95,1.0,1.0,0.0,0.0,10,10
CSNK1D,0.99,1.0,1.0,0.0,0.0,10,10
CSNK1E,0.7,1.0,1.0,0.0,0.0,10,8
CSNK1E,0.8,1.0,1.0,0.0,0.0,10,8
CSNK1E,0.85,1.0,1.0,0.0,0.0,10,8
CSNK1E,0.9,1.0,1.0,0.0,0.0,10,8
CSNK1E,0.95,1.0,1.0,0.0,0.0,10,8
CSNK1E,0.99,1.0,1.0,0.0,0.0,10,8
FBXL3,0.7,1.0,1.0,0.0,0.0,10,10
FBXL3,0.8,1.0,1.0,0.0,0.0,10,10
FBXL3,0.85,1.0,1.0,0.0,0.0,10,10
FBXL3,0.9,1.0,1.0,0.0,0.0,10,10
FBXL3,0.95,1.0,1.0,0.0,0.0,10,10
FBXL3,0.99,1.0,1.0,0.0,0.0,10,10
NPAS2,0.7,1.0,1.0,0.0,0.0,10,10
NPAS2,0.8,1.0,1.0,0.0,0.0,10,10
NPAS2,0.85,1.0,1.0,0.0,0.0,10,10
NPAS2,0.9,1.0,1.0,0.0,0.0,10,10
NPAS2,0.95,1.0,1.0,0.0,0.0,10,10
NPAS2,0.99,1.0,1.0,0.0,0.0,10,10
NR1D1,0.7,1.0,1.0,0.0,0.0,10,10
NR1D1,0.8,1.0,1.0,0.0,0.0,10,10
NR1D1,0.85,1.0,1.0,0.0,0.0,10,10
NR1D1,0.9,1.0,1.0,0.0,0.0,10,10
NR1D1,0.95,1.0,1.0,0.0,0.0,10,10
NR1D1,0.99,1.0,1.0,0.0,0.0,10,10
NR1D2,0.7,1.0,1.0,0.0,0.0,10,10
NR1D2,0.8,1.0,1.0,0.0,0.0,10,10
NR1D2,0.85,1.0,1.0,0.0,0.0,10,10
NR1D2,0.9,1.0,1.0,0.0,0.0,10,10
NR1D2,0.95,1.0,1.0,0.0,0.0,10,10
NR1D2,0.99,1.0,1.0,0.0,0.0,10,10
PER1,0.7,1.0,1.0,0.0,0.0,10,10
PER1,0.8,1.0,1.0,0.0,0.0,10,10
PER1,0.85,1.0,1.0,0.0,0.0,10,10
PER1,0.9,1.0,1.0,0.0,0.0,10,10
PER1,0.95,1.0,1.0,0.0,0.0,10,10
PER1,0.99,1.0,1.0,0.0,0.0,10,10
PER2,0.7,1.0,1.0,0.0,0.0,10,10
PER2,0.8,1.0,1.0,0.0,0.0,10,10
PER2,0.85,1.0,1.0,0.0,0.0,10,10
PER2,0.9,1.0,1.0,0.0,0.0,10,10
PER2,0.95,1.0,1.0,0.0,0.0,10,10
PER2,0.99,1.0,1.0,0.0,0.0,10,10
PER3,0.7,1.0,1.0,0.0,0.0,10,8
PER3,0.8,1.0,1.0,0.0,0.0,10,8
PER3,0.85,1.0,1.0,0.0,0.0,10,8
PER3,0.9,1.0,1.0,0.0,0.0,10,8
PER3,0.95,1.0,1.0,0.0,0.0,10,8
PER3,0.99,1.0,1.0,0.0,0.0,10,8
RORA,0.7,1.0,1.0,0.0,0.0,10,9
RORA,0.8,1.0,1.0,0.0,0.0,10,9
RORA,0.85,1.0,1.0,0.0,0.0,10,9
RORA,0.9,1.0,1.0,0.0,0.0,10,9
RORA,0.95,1.0,1.0,0.0,0.0,10,9
RORA,0.99,1.0,1.0,0.0,0.0,10,9
RORB,0.7,1.0,1.0,0.0,0.0,10,10
RORB,0.8,1.0,1.0,0.0,0.0,10,10
RORB,0.85,1.0,1.0,0.0,0.0,10,10
RORB,0.9,1.0,1.0,0.0,0.0,10,10
RORB,0.95,1.0,1.0,0.0,0.0,10,10
RORB,0.99,1.0,1.0,0.0,0.0,10,10
RORC,0.7,1.0,1.0,0.0,0.0,10,10
RORC,0.8,1.0,1.0,0.0,0.0,10,10
RORC,0.85,1.0,1.0,0.0,0.0,10,10
RORC,0.9,1.0,1.0,0.0,0.0,10,10
RORC,0.95,1.0,1.0,0.0,0.0,10,10
RORC,0.99,1.0,1.0,0.0,0.0,10,10
