gene,Threshold,power,power_min,fpr,fpr_max,n_couples,n_events
ARNTL,0.7,1.0,1.0,0.0,0.0,10,6
ARNTL,0.8,1.0,1.0,0.0,0.0,10,6
ARNTL,0.85,1.0,1.0,0.0,0.0,10,6
ARNTL,0.9,1.0,1.0,0.0,0.0,10,6
ARNTL,0.95,1.0,1.0,0.0,0.0,10,6
ARNTL,0.99,1.0,1.0,0.0,0.0,10,6
BHLHE40,0.7,1.0,1.0,0.0,0.0,10,6
BHLHE40,0.8,1.0,1.0,0.0,0.0,10,6
BHLHE40,0.85,1.0,1.0,0.0,0.0,10,6
BHLHE40,0.9,1.0,1.0,0.0,0.0,10,6
BHLHE40,0.95,1.0,1.0,0.0,0.0,10,6
BHLHE40,0.99,1.0,1.0,0.0,0.0,10,6
BHLHE41,0.7,1.0,1.0,0.0,0.0,10,6
BHLHE41,0.8,1.0,1.0,0.0,0.0,10,6
BHLHE41,0.85,1.0,1.0,0.0,0.0,10,6
BHLHE41,0.9,1.0,1.0,0.0,0.0,10,6
BHLHE41,0.95,1.0,1.0,0.0,0.0,10,6
BHLHE41,0.99,1.0,1.0,0.0,0.0,10,6
CLOCK,0.7,1.0,1.0,0.0,0.0,10,6
CLOCK,0.8,1.0,1.0,0.0,0.0,10,6
CLOCK,0.85,1.0,1.0,0.0,0.0,10,6
CLOCK,0.9,1.0,1.0,0.0,0.0,10,6
CLOCK,0.95,1.0,1.0,0.0,0.0,10,6
CLOCK,0.99,1.0,1.0,0.0,0.0,10,6
CRY1,0.7,1.0,1.0,0.0,0.0,10,6
CRY1,0.8,1.0,1.0,0.0,0.0,10,6
CRY1,0.85,1.0,1.0,0.0,0.0,10,6
CRY1,0.9,1.0,1.0,0.0,0.0,10,6
CRY1,0.95,1.0,1.0,0.0,0.0,10,6
CRY1,0.99,1.0,1.0,0.0,0.0,10,6
CRY2,0.7,1.0,1.0,0.0,0.0,10,6
CRY2,0.8,1.0,1.0,0.0,0.0,10,6
CRY2,0.85,1.0,1.0,0.0,0.0,10,6
CRY2,0.9,1.0,1.0,0.0,0.0,10,6
CRY2,0.95,1.0,1.0,0.0,0.0,10,6
CRY2,0.99,1.0,1.0,0.0,0.0,10,6
CSNK1D,0.7,1.0,1.0,0.0,0.0,10,6
CSNK1D,0.8,1.0,1.0,0.0,0.0,10,6
CSNK1D,0.85,1.0,1.0,0.0,0.0,10,6
CSNK1D,0.9,1.0,1.0,0.0,0.0,10,6
CSNK1D,0.95,1.0,1.0,0.0,0.0,10,6
CSNK1D,0.99,1.0,1.0,0.0,0.0,10,6
CSNK1E,0.7,1.0,1.0,0.0,0.0,10,5
CSNK1E,0.8,1.0,1.0,0.0,0.0,10,5
CSNK1E,0.85,1.0,1.0,0.0,0.0,10,5
CSNK1E,0.9,1.0,1.0,0.0,0.0,10,5
CSNK1E,0.95,1.0,1.0,0.0,0.0,10,5
CSNK1E,0.99,1.0,1.0,0.0,0.0,10,5
FBXL3,0.7,1.0,1.0,0.0,0.0,10,6
FBXL3,0.8,1.0,1.0,0.0,0.0,10,6
FBXL3,0.85,1.0,1.0,0.0,0.0,10,6
FBXL3,0.9,1.0,1.0,0.0,0.0,10,6
FBXL3,0.95,1.0,1.0,0.0,0.0,10,6
FBXL3,0.99,1.0,1.0,0.0,0.0,10,6
NPAS2,0.7,1.0,1.0,0.0,0.0,10,6
NPAS2,0.8,1.0,1.0,0.0,0.0,10,6
NPAS2,0.85,1.0,1.0,0.0,0.0,10,6
NPAS2,0.9,1.0,1.0,0.0,0.0,10,6
NPAS2,0.95,1.0,1.0,0.0,0.0,10,6
NPAS2,0.99,1.0,1.0,0.0,0.0,10,6
NR1D1,0.7,1.0,1.0,0.0,0.0,10,6
NR1D1,0.8,1.0,1.0,0.0,0.0,10,6
NR1D1,0.85,1.0,1.0,0.0,0.0,10,6
NR1D1,0.9,1.0,1.0,0.0,0.0,10,6
NR1D1,0.95,1.0,1.0,0.0,0.0,10,6
NR1D1,0.99,1.0,1.0,0.0,0.0,10,6
NR1D2,0.7,1.0,1.0,0.0,0.0,10,6
NR1D2,0.8,1.0,1.0,0.0,0.0,10,6
NR1D2,0.85,1.0,1.0,0.0,0.0,10,6
NR1D2,0.9,1.0,1.0,0.0,0.0,10,6
NR1D2,0.95,1.0,1.0,0.0,0.0,10,6
NR1D2,0.99,1.0,1.0,0.0,0.0,10,6
PER1,0.7,1.0,1.0,0.0,0.0,10,6
PER1,0.8,1.0,1.0,0.0,0.0,10,6
PER1,0.85,1.0,1.0,0.0,0.0,10,6
PER1,0.9,1.0,1.0,0.0,0.0,10,6
PER1,0.95,1.0,1.0,0.0,0.0,10,6
PER1,0.99,1.0,1.0,0.0,0.0,10,6
PER2,0.7,1.0,1.0,0.0,0.0,10,6
PER2,0.8,1.0,1.0,0.0,0.0,10,6
PER2,0.85,1.0,1.0,0.0,0.0,10,6
PER2,0.9,1.0,1.0,0.0,0.0,10,6
PER2,0.95,0.999,0.99,0.0,0.0,10,6
PER2,0.99,0.999,0.99,0.0,0.0,10,6
PER3,0.7,0.999,0.99,0.0,0.0,10,5
PER3,0.8,0.998,0.99,0.0,0.0,10,5
PER3,0.85,0.998,0.99,0.0,0.0,10,5
PER3,0.9,0.998,0.99,0.0,0.0,10,5
PER3,0.95,0.9949999999999999,0.98,0.0,0.0,10,5
PER3,0.99,0.99,0.96,0.0,0.0,10,5
RORA,0.7,1.0,1.0,0.0,0.0,10,5
RORA,0.8,1.0,1.0,0.0,0.0,10,5
RORA,0.85,1.0,1.0,0.0,0.0,10,5
RORA,0.9,1.0,1.0,0.0,0.0,10,5
RORA,0.95,1.0,1.0,0.0,0.0,10,5
RORA,0.99,1.0,1.0,0.0,0.0,10,5
RORB,0.7,1.0,1.0,0.0,0.0,10,6
RORB,0.8,1.0,1.0,0.0,0.0,10,6
RORB,0.85,1.0,1.0,0.0,0.0,10,6
RORB,0.9,1.0,1.0,0.0,0.0,10,6
RORB,0.95,1.0,1.0,0.0,0.0,10,6
RORB,0.99,1.0,1.0,0.0,0.0,10,6
RORC,0.7,1.0,1.0,0.0,0.0,10,6
RORC,0.8,1.0,1.0,0.0,0.0,10,6
RORC,0.85,1.0,1.0,0.0,0.0,10,6
RORC,0.9,1.0,1.0,0.0,0.0,10,6
RORC,0.95,1.0,1.0,0.0,0.0,10,6
RORC,0.99,0.999,0.99,0.0,0.0,10,6
