"event_id","direction","transition_edge","node","node_role","tips"
1,"gain",3,64,"transition","Acinonyx_jubatus;Aepyceros_melampus;Bos_taurus;Camelus_bactrianus;Caracal_caracal;Eira_barbara;Equus_caballus;Giraffa_tippelskirchi;Hyaena_hyaena;Leopardus_geoffroyi;Martes_flavigula;Nanger_dama;Nasua_narica;Paguma_larvata;Panthera_pardus;Phacochoerus_africanus;Pipistrellus_pipistrellus;Puma_concolor;Saccopteryx_bilineata;Speothos_venaticus;Suricata_suricatta;Tapirus_terrestris;Tragelaphus_eurycerus;Vicugna_pacos"
1,"gain",3,66,"convergent","Acinonyx_jubatus;Aepyceros_melampus;Bos_taurus;Camelus_bactrianus;Caracal_caracal;Eira_barbara;Equus_caballus;Giraffa_tippelskirchi;Hyaena_hyaena;Leopardus_geoffroyi;Martes_flavigula;Nanger_dama;Nasua_narica;Paguma_larvata;Panthera_pardus;Phacochoerus_africanus;Puma_concolor;Speothos_venaticus;Suricata_suricatta;Tapirus_terrestris;Tragelaphus_eurycerus;Vicugna_pacos"
1,"gain",3,67,"convergent","Acinonyx_jubatus;Caracal_caracal;Eira_barbara;Hyaena_hyaena;Leopardus_geoffroyi;Martes_flavigula;Nasua_narica;Paguma_larvata;Panthera_pardus;Puma_concolor;Speothos_venaticus;Suricata_suricatta"
1,"gain",3,78,"convergent","Aepyceros_melampus;Bos_taurus;Camelus_bactrianus;Equus_caballus;Giraffa_tippelskirchi;Nanger_dama;Phacochoerus_africanus;Tapirus_terrestris;Tragelaphus_eurycerus;Vicugna_pacos"
1,"gain",3,79,"convergent","Equus_caballus;Tapirus_terrestris"
1,"gain",3,80,"convergent","Aepyceros_melampus;Bos_taurus;Camelus_bactrianus;Giraffa_tippelskirchi;Nanger_dama;Phacochoerus_africanus;Tragelaphus_eurycerus;Vicugna_pacos"
1,"gain",3,81,"convergent","Camelus_bactrianus;Vicugna_pacos"
1,"gain",3,82,"convergent","Aepyceros_melampus;Bos_taurus;Giraffa_tippelskirchi;Nanger_dama;Phacochoerus_africanus;Tragelaphus_eurycerus"
1,"gain",3,19,"convergent","Phacochoerus_africanus"
1,"gain",3,83,"convergent","Aepyceros_melampus;Bos_taurus;Giraffa_tippelskirchi;Nanger_dama;Tragelaphus_eurycerus"
1,"gain",3,20,"convergent","Giraffa_tippelskirchi"
1,"gain",3,84,"convergent","Aepyceros_melampus;Bos_taurus;Nanger_dama;Tragelaphus_eurycerus"
1,"gain",3,85,"convergent","Bos_taurus;Tragelaphus_eurycerus"
1,"gain",3,86,"convergent","Aepyceros_melampus;Nanger_dama"
1,"gain",3,23,"convergent","Nanger_dama"
1,"gain",3,24,"convergent","Aepyceros_melampus"
1,"gain",3,21,"convergent","Bos_taurus"
1,"gain",3,17,"convergent","Vicugna_pacos"
1,"gain",3,18,"convergent","Camelus_bactrianus"
1,"gain",3,15,"convergent","Equus_caballus"
1,"gain",3,68,"convergent","Eira_barbara;Martes_flavigula;Nasua_narica;Speothos_venaticus"
1,"gain",3,3,"convergent","Speothos_venaticus"
1,"gain",3,69,"convergent","Eira_barbara;Martes_flavigula;Nasua_narica"
1,"gain",3,4,"convergent","Nasua_narica"
1,"gain",3,70,"convergent","Eira_barbara;Martes_flavigula"
1,"gain",3,5,"convergent","Martes_flavigula"
1,"gain",3,6,"convergent","Eira_barbara"
2,"reversal",4,65,"transition","Pipistrellus_pipistrellus;Saccopteryx_bilineata"
2,"reversal",4,1,"convergent","Pipistrellus_pipistrellus"
2,"reversal",4,2,"convergent","Saccopteryx_bilineata"
3,"reversal",16,71,"transition","Acinonyx_jubatus;Caracal_caracal;Hyaena_hyaena;Leopardus_geoffroyi;Paguma_larvata;Panthera_pardus;Puma_concolor;Suricata_suricatta"
3,"reversal",16,72,"convergent","Hyaena_hyaena;Paguma_larvata;Suricata_suricatta"
3,"reversal",16,74,"convergent","Acinonyx_jubatus;Caracal_caracal;Leopardus_geoffroyi;Panthera_pardus;Puma_concolor"
3,"reversal",16,75,"convergent","Acinonyx_jubatus;Caracal_caracal;Leopardus_geoffroyi;Puma_concolor"
3,"reversal",16,14,"convergent","Panthera_pardus"
3,"reversal",16,76,"convergent","Acinonyx_jubatus;Leopardus_geoffroyi;Puma_concolor"
3,"reversal",16,13,"convergent","Caracal_caracal"
3,"reversal",16,10,"convergent","Leopardus_geoffroyi"
3,"reversal",16,77,"convergent","Acinonyx_jubatus;Puma_concolor"
3,"reversal",16,12,"convergent","Puma_concolor"
3,"reversal",16,73,"convergent","Hyaena_hyaena;Suricata_suricatta"
3,"reversal",16,9,"convergent","Paguma_larvata"
3,"reversal",16,7,"convergent","Hyaena_hyaena"
4,"gain",20,8,"transition","Suricata_suricatta"
5,"gain",27,11,"transition","Acinonyx_jubatus"
6,"reversal",34,16,"transition","Tapirus_terrestris"
7,"reversal",46,22,"transition","Tragelaphus_eurycerus"
8,"gain",60,93,"transition","Aotus_nancymaae;Callithrix_jacchus;Cebus_imitator;Gorilla_gorilla;Homo_sapiens;Hylobates_pileatus;Pan_troglodytes;Plecturocebus_cupreus"
8,"gain",60,94,"convergent","Aotus_nancymaae;Callithrix_jacchus;Cebus_imitator;Plecturocebus_cupreus"
8,"gain",60,97,"convergent","Gorilla_gorilla;Homo_sapiens;Hylobates_pileatus;Pan_troglodytes"
8,"gain",60,33,"convergent","Hylobates_pileatus"
8,"gain",60,98,"convergent","Gorilla_gorilla;Homo_sapiens;Pan_troglodytes"
8,"gain",60,99,"convergent","Homo_sapiens;Pan_troglodytes"
8,"gain",60,36,"convergent","Gorilla_gorilla"
8,"gain",60,34,"convergent","Pan_troglodytes"
8,"gain",60,35,"convergent","Homo_sapiens"
8,"gain",60,29,"convergent","Plecturocebus_cupreus"
8,"gain",60,95,"convergent","Aotus_nancymaae;Callithrix_jacchus;Cebus_imitator"
8,"gain",60,96,"convergent","Callithrix_jacchus;Cebus_imitator"
8,"gain",60,30,"convergent","Cebus_imitator"
8,"gain",60,31,"convergent","Callithrix_jacchus"
9,"reversal",67,32,"transition","Aotus_nancymaae"
10,"gain",79,39,"transition","Ochotona_princeps"
11,"gain",82,104,"transition","Cynomys_ludovicianus;Ictidomys_tridecemlineatus;Sciurus_vulgaris;Xerus_rutilus"
11,"gain",82,40,"convergent","Sciurus_vulgaris"
11,"gain",82,105,"convergent","Cynomys_ludovicianus;Ictidomys_tridecemlineatus;Xerus_rutilus"
11,"gain",82,41,"convergent","Xerus_rutilus"
11,"gain",82,106,"convergent","Cynomys_ludovicianus;Ictidomys_tridecemlineatus"
11,"gain",82,42,"convergent","Cynomys_ludovicianus"
11,"gain",82,43,"convergent","Ictidomys_tridecemlineatus"
12,"gain",89,44,"transition","Octodon_degus"
13,"gain",98,48,"transition","Arvicanthis_niloticus"
14,"gain",104,52,"transition","Rhynchocyon_petersi"
15,"gain",112,56,"transition","Myrmecobius_fasciatus"
