"edge_id","parent","child","from","to","direction","child_label","n_desc_tips"
3,63,64,"nocturnal","diurnal","gain",NA,24
4,64,65,"diurnal","nocturnal","reversal",NA,2
16,67,71,"diurnal","nocturnal","reversal",NA,8
20,73,8,"nocturnal","diurnal","gain","Suricata_suricatta",1
27,77,11,"nocturnal","diurnal","gain","Acinonyx_jubatus",1
34,79,16,"diurnal","nocturnal","reversal","Tapirus_terrestris",1
46,85,22,"diurnal","nocturnal","reversal","Tragelaphus_eurycerus",1
60,89,93,"nocturnal","diurnal","gain",NA,8
67,95,32,"diurnal","nocturnal","reversal","Aotus_nancymaae",1
79,101,39,"nocturnal","diurnal","gain","Ochotona_princeps",1
82,103,104,"nocturnal","diurnal","gain",NA,4
89,103,44,"nocturnal","diurnal","gain","Octodon_degus",1
98,111,48,"nocturnal","diurnal","gain","Arvicanthis_niloticus",1
104,113,52,"nocturnal","diurnal","gain","Rhynchocyon_petersi",1
112,117,56,"nocturnal","diurnal","gain","Myrmecobius_fasciatus",1
