gene,Threshold,power,power_min,fpr,fpr_max,n_couples,n_events
ARNTL,0.7,1.0,1.0,0.0,0.0,10,5
ARNTL,0.8,1.0,1.0,0.0,0.0,10,5
ARNTL,0.85,1.0,1.0,0.0,0.0,10,5
ARNTL,0.9,1.0,1.0,0.0,0.0,10,5
ARNTL,0.95,1.0,1.0,0.0,0.0,10,5
ARNTL,0.99,1.0,1.0,0.0,0.0,10,5
BHLHE40,0.7,1.0,1.0,0.0,0.0,10,5
BHLHE40,0.8,1.0,1.0,0.0,0.0,10,5
BHLHE40,0.85,1.0,1.0,0.0,0.0,10,5
BHLHE40,0.9,1.0,1.0,0.0,0.0,10,5
BHLHE40,0.95,0.999,0.99,0.0,0.0,10,5
BHLHE40,0.99,0.998,0.99,0.0,0.0,10,5
BHLHE41,0.7,1.0,1.0,0.0,0.0,10,5
BHLHE41,0.8,1.0,1.0,0.0,0.0,10,5
BHLHE41,0.85,1.0,1.0,0.0,0.0,10,5
BHLHE41,0.9,1.0,1.0,0.0,0.0,10,5
BHLHE41,0.95,1.0,1.0,0.0,0.0,10,5
BHLHE41,0.99,1.0,1.0,0.0,0.0,10,5
CLOCK,0.7,1.0,1.0,0.0,0.0,10,5
CLOCK,0.8,1.0,1.0,0.0,0.0,10,5
CLOCK,0.85,1.0,1.0,0.0,0.0,10,5
CLOCK,0.9,1.0,1.0,0.0,0.0,10,5
CLOCK,0.95,1.0,1.0,0.0,0.0,10,5
CLOCK,0.99,1.0,1.0,0.0,0.0,10,5
CRY1,0.7,1.0,1.0,0.0,0.0,10,5
CRY1,0.8,1.0,1.0,0.0,0.0,10,5
CRY1,0.85,1.0,1.0,0.0,0.0,10,5
CRY1,0.9,1.0,1.0,0.0,0.0,10,5
CRY1,0.95,1.0,1.0,0.0,0.0,10,5
CRY1,0.99,1.0,1.0,0.0,0.0,10,5
CRY2,0.7,1.0,1.0,0.0,0.0,10,5
CRY2,0.8,1.0,1.0,0.0,0.0,10,5
CRY2,0.85,1.0,1.0,0.0,0.0,10,5
CRY2,0.9,1.0,1.0,0.0,0.0,10,5
CRY2,0.95,1.0,1.0,0.0,0.0,10,5
CRY2,0.99,1.0,1.0,0.0,0.0,10,5
CSNK1D,0.7,0.999,0.99,0.0,0.0,10,2
CSNK1D,0.8,0.999,0.99,0.0,0.0,10,2
CSNK1D,0.85,0.999,0.99,0.0,0.0,10,2
CSNK1D,0.9,0.999,0.99,0.0,0.0,10,2
CSNK1D,0.95,0.999,0.99,0.0,0.0,10,2
CSNK1D,0.99,0.999,0.99,0.0,0.0,10,2
CSNK1E,0.7,1.0,1.0,0.0,0.0,10,5
CSNK1E,0.8,1.0,1.0,0.0,0.0,10,5
CSNK1E,0.85,1.0,1.0,0.0,0.0,10,5
CSNK1E,0.9,1.0,1.0,0.0,0.0,10,5
CSNK1E,0.95,1.0,1.0,0.0,0.0,10,5
CSNK1E,0.99,0.999,0.99,0.0,0.0,10,5
FBXL3,0.7,1.0,1.0,0.0,0.0,10,5
FBXL3,0.8,1.0,1.0,0.0,0.0,10,5
FBXL3,0.85,1.0,1.0,0.0,0.0,10,5
FBXL3,0.9,1.0,1.0,0.0,0.0,10,5
FBXL3,0.95,1.0,1.0,0.0,0.0,10,5
FBXL3,0.99,1.0,1.0,0.0,0.0,10,5
NPAS2,0.7,1.0,1.0,0.0,0.0,10,5
NPAS2,0.8,1.0,1.0,0.0,0.0,10,5
NPAS2,0.85,1.0,1.0,0.0,0.0,10,5
NPAS2,0.9,1.0,1.0,0.0,0.0,10,5
NPAS2,0.95,1.0,1.0,0.0,0.0,10,5
NPAS2,0.99,1.0,1.0,0.0,0.0,10,5
NR1D1,0.7,1.0,1.0,0.0,0.0,10,5
NR1D1,0.8,1.0,1.0,0.0,0.0,10,5
NR1D1,0.85,1.0,1.0,0.0,0.0,10,5
NR1D1,0.9,1.0,1.0,0.0,0.0,10,5
NR1D1,0.95,1.0,1.0,0.0,0.0,10,5
NR1D1,0.99,1.0,1.0,0.0,0.0,10,5
NR1D2,0.7,1.0,1.0,0.0,0.0,10,5
NR1D2,0.8,1.0,1.0,0.0,0.0,10,5
NR1D2,0.85,1.0,1.0,0.0,0.0,10,5
NR1D2,0.9,1.0,1.0,0.0,0.0,10,5
NR1D2,0.95,1.0,1.0,0.0,0.0,10,5
NR1D2,0.99,1.0,1.0,0.0,0.0,10,5
PER1,0.7,1.0,1.0,0.0,0.0,10,5
PER1,0.8,1.0,1.0,0.0,0.0,10,5
PER1,0.85,1.0,1.0,0.0,0.0,10,5
PER1,0.9,1.0,1.0,0.0,0.0,10,5
PER1,0.95,1.0,1.0,0.0,0.0,10,5
PER1,0.99,1.0,1.0,0.0,0.0,10,5
PER2,0.7,1.0,1.0,0.0,0.0,10,5
PER2,0.8,1.0,1.0,0.0,0.0,10,5
PER2,0.85,1.0,1.0,0.0,0.0,10,5
