gene,n_sites,n_events,sites_2plus_events_changed,null_mean_opportunity,convergent_sites,null_mean_convergent,p_count_confounded,obs_same_residue_rate,null_same_residue_rate,p_rate
CLOCK,841,10,26,17.5,9,6.57,0.2488,0.3462,0.3813,0.5771
NPAS2,814,10,48,35.6,22,14.54,0.1393,0.4583,0.4106,0.2935
ARNTL,620,10,2,2.7,1,1.33,0.7363,0.5,0.4997,0.6302
PER1,1233,10,60,45.2,19,14.67,0.2537,0.3167,0.3196,0.5075
PER2,1208,10,195,152.5,64,46.48,0.1343,0.3282,0.301,0.2388
PER3,897,8,94,103.6,24,28.23,0.6318,0.2553,0.2773,0.5672
CRY1,582,10,19,21.8,11,14.21,0.6318,0.5789,0.65,0.7413
CRY2,592,10,11,14.2,5,4.67,0.4975,0.4545,0.3404,0.204
NR1D1,610,10,59,17.3,7,4.04,0.1343,0.1186,0.2926,0.8706
NR1D2,562,10,14,13.8,4,4.6,0.5771,0.2857,0.3404,0.6418
RORA,466,9,10,8.4,1,5.06,0.9104,0.1,0.565,0.91
RORB,459,10,5,3.3,3,1.8,0.3284,0.6,0.4991,0.4646
RORC,518,10,39,27.3,6,7.43,0.6667,0.1538,0.2705,0.9801
CSNK1D,401,10,0,1.9,0,0.6,1.0,,0.3017,
CSNK1E,509,8,29,56.5,20,34.94,0.6318,0.6897,0.5916,0.3383
FBXL3,426,10,6,3.6,2,1.19,0.3184,0.3333,0.3112,0.5224
BHLHE40,407,10,21,11.4,11,5.02,0.1493,0.5238,0.4012,0.2935
BHLHE41,582,10,7,11.9,4,4.27,0.5025,0.5714,0.3513,0.0945
