gene,n_events,n_sites,total_transition_bl,total_clade_bl,exp_lineages_changed_transition,exp_lineages_changed_clade,max_single_event_p,p_site_2plus_lineages,exp_sites_2plus_lineages,opportunity
ARNTL,10,620,0.0426,0.0968,0.042,0.096,0.042,0.00331,2.1,LOW
CSNK1D,10,401,0.015,0.1324,0.015,0.129,0.072,0.00505,2.0,LOW
RORB,10,459,0.084,0.2994,0.083,0.286,0.145,0.02595,11.9,adequate
FBXL3,10,426,0.0879,0.3861,0.087,0.354,0.227,0.03217,13.7,adequate
CLOCK,10,841,0.1816,0.43,0.178,0.403,0.198,0.04978,41.9,adequate
NR1D2,10,562,0.1863,0.6142,0.182,0.554,0.291,0.08635,48.5,adequate
BHLHE40,10,407,0.417,0.612,0.39,0.575,0.194,0.10339,42.1,adequate
PER1,10,1233,0.2566,0.6658,0.251,0.616,0.253,0.11408,140.7,adequate
CRY1,10,582,0.1165,0.9538,0.115,0.842,0.289,0.19463,113.3,adequate
CRY2,10,592,0.1606,1.1592,0.158,0.919,0.51,0.20608,122.0,adequate
NPAS2,10,814,0.3315,1.1648,0.319,0.953,0.499,0.22299,181.5,adequate
RORC,10,518,0.4075,1.1028,0.395,0.986,0.329,0.25407,131.6,adequate
BHLHE41,10,582,0.3068,1.4865,0.297,1.045,0.664,0.23378,136.1,adequate
NR1D1,10,610,2.7915,2.9944,1.117,1.309,0.925,0.30875,188.3,adequate
RORA,9,466,0.3425,2.5952,0.319,1.416,0.865,0.3985,185.7,adequate
PER2,10,1208,0.867,2.4252,0.803,1.828,0.68,0.59504,718.8,adequate
PER3,8,897,0.6642,2.9116,0.618,1.88,0.814,0.62919,564.4,adequate
CSNK1E,8,509,0.0822,4.1322,0.081,2.055,0.92,0.76125,387.5,adequate
