ARNTL,Acinonyx_jubatus,XP_026928895.1,refseq,1881,626,PASS,exact | coded_by:XM_027073094.2:494..2374
ARNTL,Acomys_cahirinus,,miniprot,2196,731,PASS,exact | miniprot-local
ARNTL,Aepyceros_melampus,,miniprot,2173,722,DROP,cds not x3 (trim 1); 39 internal stop(s); len aa=724 prot=722 | miniprot-local
ARNTL,Aotus_nancymaae,XP_064221225.1,refseq,1881,626,PASS,exact | coded_by:XM_064365155.1:345..2225
ARNTL,Arvicanthis_niloticus,XP_076797187.1,refseq,1881,626,PASS,exact | coded_by:XM_076941072.1:1..1881
ARNTL,Bos_taurus,NP_001178099.1,refseq,1881,626,PASS,exact | coded_by:NM_001191170.1:433..2313
ARNTL,Callithrix_jacchus,JAB43433.1,refseq,1881,626,PASS,exact | coded_by:GAMP01009322.1:322..2202
ARNTL,Camelus_bactrianus,XP_074228464.1,refseq,1881,626,PASS,exact | coded_by:XM_074372363.1:500..2380
ARNTL,Caracal_caracal,,miniprot,2214,735,DROP,2 internal stop(s); len aa=737 prot=735 | miniprot-local
ARNTL,Cebus_imitator,XP_037593420.1,refseq,1896,631,PASS,exact | coded_by:XM_037737492.1:157..2052
ARNTL,Choloepus_hoffmanni,,miniprot,2098,697,DROP,cds not x3 (trim 1); 41 internal stop(s); len aa=699 prot=697 | miniprot-local
ARNTL,Cynocephalus_volans,XP_062951639.1,refseq,1881,626,PASS,exact | coded_by:XM_063095569.1:309..2189
ARNTL,Cynomys_ludovicianus,,miniprot,2162,718,DROP,cds not x3 (trim 2); 36 internal stop(s); len aa=720 prot=718 | miniprot-local
ARNTL,Dasypus_novemcinctus,XP_004472591.1,refseq,1881,626,PASS,exact | coded_by:XM_004472534.5:558..2438
ARNTL,Daubentonia_madagascariensis,,miniprot,2197,727,DROP,cds not x3 (trim 1); 40 internal stop(s); len aa=732 prot=727 | miniprot-local
ARNTL,Eira_barbara,,miniprot,2223,739,DROP,2 internal stop(s); len aa=740 prot=739 | miniprot-local
ARNTL,Equus_caballus,NP_001075390.1,refseq,1881,626,PASS,exact | coded_by:NM_001081921.2:129..2009
ARNTL,Giraffa_tippelskirchi,,miniprot,2227,739,DROP,cds not x3 (trim 1); 39 internal stop(s); len aa=742 prot=739 | miniprot-local
ARNTL,Gorilla_gorilla_gorilla,XP_030863535.1,refseq,1881,626,PASS,exact | coded_by:XM_031007675.3:146..2026
ARNTL,Homo_sapiens,NP_001338744.1,refseq,1878,625,PASS,exact | coded_by:NM_001351815.2:216..2093
ARNTL,Hyaena_hyaena,XP_039096790.1,refseq,1902,633,PASS,exact | coded_by:XM_039240859.1:383..2284
