gene,n_sites,n_events,sites_2plus_events_changed,null_mean_opportunity,convergent_sites,null_mean_convergent,p_count_confounded,obs_same_residue_rate,null_same_residue_rate,p_rate
CLOCK,841,10,25,10.8,9,4.18,0.0846,0.36,0.3755,0.5377
NPAS2,814,10,42,35.3,19,10.78,0.1294,0.4524,0.3408,0.194
ARNTL,620,10,2,2.1,1,1.21,0.6617,0.5,0.5483,0.6839
PER1,1233,10,63,32.1,21,10.94,0.0398,0.3333,0.3412,0.5871
PER2,1208,10,196,116.5,61,34.19,0.0149,0.3112,0.2912,0.3483
PER3,897,8,90,99.7,24,24.16,0.4527,0.2667,0.2507,0.3532
CRY1,582,10,14,18.6,5,11.63,0.7612,0.3571,0.5813,0.7811
CRY2,592,10,11,8.1,5,2.6,0.1592,0.4545,0.3446,0.2687
NR1D1,610,10,58,9.6,5,3.38,0.2786,0.0862,0.4241,0.965
NR1D2,562,10,14,10.4,4,3.92,0.4527,0.2857,0.3594,0.685
RORA,466,9,10,7.8,2,4.53,0.7065,0.2,0.5725,0.8109
RORB,459,10,5,3.3,4,1.68,0.0846,0.8,0.5035,0.2
RORC,518,10,38,24.5,4,6.98,0.791,0.1053,0.276,0.9652
CSNK1D,401,10,0,2.0,0,0.78,1.0,,0.3055,
CSNK1E,509,8,37,43.6,25,20.27,0.408,0.6757,0.4159,0.1294
FBXL3,426,10,6,3.0,2,1.34,0.408,0.3333,0.4665,0.7016
BHLHE40,407,10,21,8.7,11,3.73,0.0597,0.5238,0.4095,0.28
BHLHE41,582,10,7,10.4,4,3.83,0.4229,0.5714,0.3425,0.1393
