gene,n_sites,n_diurnal_clades,n_perm,obs_max_score,null_mean_max,p_max,obs_n_over_cutoff,null_mean_n_over,p_count
CLOCK,841,17,1000,0.348,0.353,0.4555,0,0.0,1.0
NPAS2,814,17,1000,0.4,0.406,0.4995,0,0.01,1.0
ARNTL,620,17,1000,0.3,0.299,0.4655,0,0.0,1.0
PER1,1233,17,1000,0.467,0.396,0.1748,0,0.01,1.0
PER2,1208,17,1000,0.433,0.457,0.6324,0,0.02,1.0
PER3,897,15,1000,0.607,0.507,0.1199,1,0.17,0.1429
CRY1,582,17,1000,0.438,0.306,0.043,0,0.0,1.0
CRY2,592,17,1000,0.31,0.347,0.6723,0,0.01,1.0
NR1D1,610,17,1000,0.313,0.334,0.5435,0,0.0,1.0
NR1D2,562,17,1000,0.34,0.327,0.3636,0,0.0,1.0
RORA,466,16,1000,0.312,0.257,0.1628,0,0.0,1.0
RORB,459,17,1000,0.223,0.305,0.9011,0,0.0,1.0
RORC,518,17,1000,0.371,0.391,0.5574,0,0.01,1.0
CSNK1D,401,10,1000,0.25,0.326,0.8981,0,0.01,1.0
CSNK1E,509,16,1000,0.661,0.567,0.1798,1,0.69,0.3506
FBXL3,426,17,1000,0.379,0.282,0.0659,0,0.0,1.0
BHLHE40,407,17,1000,0.4,0.338,0.1828,0,0.0,1.0
BHLHE41,582,17,1000,0.429,0.414,0.3886,0,0.11,1.0
