gene,taxa,codons_in,codons_used,allgap_dropped,foreground_branches,background_branches,foreground_tips,flag
CLOCK,53,991,991,0,48,56,27,
NPAS2,44,1145,1120,25,41,45,23,
ARNTL,40,778,750,28,33,45,20,
PER1,46,1643,1584,59,44,46,25,
PER2,47,1726,1704,22,41,51,23,
PER3,36,2122,1640,482,29,41,16,
CRY1,40,670,666,4,32,46,20,
CRY2,54,665,661,4,51,55,28,
NR1D1,57,760,731,29,52,60,28,
NR1D2,56,660,660,0,51,59,28,
RORA,53,602,602,0,47,57,26,
RORB,39,665,609,56,30,46,18,
RORC,51,790,753,37,43,57,24,
CSNK1D,32,792,553,239,27,35,17,
CSNK1E,39,564,564,0,42,34,22,
FBXL3,58,442,442,0,51,63,28,
BHLHE40,38,666,599,67,31,43,19,
BHLHE41,40,768,720,48,33,45,20,
