"","Rho","N","P","p.adj"
"BHLHE40",-0.178051993328342,82,0.0510861276045169,0.677090626696386
"NPAS2",-0.123900988544554,103,0.127213044810019,0.677090626696386
"ARNTL",-0.149456792897237,68,0.136908452482363,0.677090626696386
"CSNK1D",0.204385006865824,34,0.15639973428251,0.677090626696386
"BHLHE41",-0.104811895574347,80,0.256839257957857,0.677090626696386
"PER2",-0.0850774739713516,114,0.270107204978249,0.677090626696386
"NR1D2",-0.0923962164225602,82,0.311393554623291,0.677090626696386
"CLOCK",-0.0803772617204684,85,0.369734045380034,0.677090626696386
"CRY2",-0.0765191798395531,92,0.373907025363461,0.677090626696386
"NR1D1",-0.0697255091139969,89,0.425670476835654,0.677090626696386
"FBXL3",0.0759061914352871,67,0.453445564432916,0.677090626696386
"CRY1",0.0614559631727343,77,0.514433208475868,0.677090626696386
"RORB",-0.0610980603375313,71,0.534135262077375,0.677090626696386
"PER1",-0.0484816385981575,101,0.554615204382816,0.677090626696386
"RORA",0.0675135040513505,49,0.570637116291063,0.677090626696386
"RORC",-0.0419702728406682,105,0.601858334841232,0.677090626696386
"CSNK1E",0.0294577110660472,84,0.743857971045435,0.787614322283401
"PER3",-0.00487335000964579,103,0.952163995221279,0.952163995221279
