k,replicate,events,n_branches,branch_length,start,end
2,0,0;6,25,0.2496,0,200
2,1,0;2,25,0.22224,200,400
2,2,4;8,2,0.10601,400,600
3,0,5;6;8,9,0.08677,600,800
3,1,2;4;9,3,0.08236,800,1000
3,2,1;6;9,3,0.04605,1000,1200
4,0,4;5;7;8,10,0.14202,1200,1400
4,1,2;4;8;9,4,0.11513,1400,1600
4,2,0;1;3;5,46,0.27592,1600,1800
5,0,0;2;5;7;9,34,0.26626,1800,2000
5,1,0;1;3;5;7,47,0.28638,2000,2200
5,2,1;2;6;7;8,5,0.08238,2200,2400
6,0,0;5;6;7;8;9,35,0.32638,2400,2600
6,1,0;3;4;6;7;8,42,0.38574,2600,2800
6,2,1;2;3;5;6;8,25,0.11712,2800,3000
7,0,2;3;5;6;7;8;9,26,0.12602,3000,3200
7,1,3;4;5;6;7;8;9,26,0.19815,3200,3400
7,2,0;2;3;4;6;7;9,43,0.36208,3400,3600
8,0,0;1;2;3;4;5;7;9,50,0.36874,3600,3800
8,1,0;2;3;4;5;6;7;8,50,0.41239,3800,4000
8,2,0;1;2;4;5;6;8;9,37,0.39985,4000,4200
9,0,0;2;3;4;5;6;7;8;9,51,0.4204,4200,4400
9,1,0;1;2;3;4;5;6;7;9,51,0.3972,4400,4600
9,2,0;1;2;3;4;5;6;8;9,51,0.41951,4600,4800
10,0,0;1;2;3;4;5;6;7;8;9,52,0.42997,4800,5000
