"gene","Rho","N","parametric_P","parametric_p_adj","permulation_P","permulation_p_adj"
"BHLHE40",-0.178051993328342,82,0.0510861276045169,0.677090626696386,0.11377245508982,0.728361458900381
"CSNK1D",0.204385006865824,34,0.15639973428251,0.677090626696386,0.194444444444444,0.728361458900381
"CLOCK",-0.0803772617204684,85,0.369734045380034,0.677090626696386,0.245508982035928,0.728361458900381
"NR1D2",-0.0923962164225602,82,0.311393554623291,0.677090626696386,0.307385229540918,0.728361458900381
"BHLHE41",-0.104811895574347,80,0.256839257957857,0.677090626696386,0.351297405189621,0.728361458900381
"ARNTL",-0.149456792897237,68,0.136908452482363,0.677090626696386,0.36127744510978,0.728361458900381
"RORB",-0.0610980603375313,71,0.534135262077375,0.677090626696386,0.377245508982036,0.728361458900381
"PER1",-0.0484816385981575,101,0.554615204382816,0.677090626696386,0.397205588822355,0.728361458900381
"RORC",-0.0419702728406682,105,0.601858334841232,0.677090626696386,0.407185628742515,0.728361458900381
"FBXL3",0.0759061914352871,67,0.453445564432916,0.677090626696386,0.439121756487026,0.728361458900381
"CSNK1E",0.0294577110660472,84,0.743857971045435,0.787614322283401,0.445109780439122,0.728361458900381
"PER2",-0.0850774739713516,114,0.270107204978249,0.677090626696386,0.630738522954092,0.90590248075278
"NPAS2",-0.123900988544554,103,0.127213044810019,0.677090626696386,0.672654690618762,0.90590248075278
"PER3",-0.00487335000964579,103,0.952163995221279,0.952163995221279,0.704590818363273,0.90590248075278
"NR1D1",-0.0697255091139969,89,0.425670476835654,0.677090626696386,0.81437125748503,0.95103909827404
"CRY2",-0.0765191798395531,92,0.373907025363461,0.677090626696386,0.86626746506986,0.95103909827404
"CRY1",0.0614559631727343,77,0.514433208475868,0.677090626696386,0.898203592814371,0.95103909827404
"RORA",0.0675135040513505,49,0.570637116291063,0.677090626696386,0.982035928143713,0.982035928143713
