species,gene,source,protein_accession,best_query,chromosome
Acinonyx_jubatus,ARNTL,refseq,XP_026928895.1,,
Acomys_cahirinus,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,JAULSH010000012.1
Aepyceros_melampus,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,SJXQ01003442.1
Aotus_nancymaae,ARNTL,refseq,XP_064221225.1,,
Arvicanthis_niloticus,ARNTL,refseq,XP_076797187.1,,
Bos_taurus,ARNTL,refseq,NP_001178099.1,,
Callithrix_jacchus,ARNTL,refseq,JAB43433.1,,
Camelus_bactrianus,ARNTL,refseq,XP_074228464.1,,
Caracal_caracal,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,JACGTZ010001341.1
Cebus_imitator,ARNTL,refseq,XP_037593420.1,,
Choloepus_hoffmanni,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,KN188029.1
Cynocephalus_volans,ARNTL,refseq,XP_062951639.1,,
Cynomys_ludovicianus,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,JACVBZ010000094.1
Dasypus_novemcinctus,ARNTL,refseq,XP_004472591.1,,
Daubentonia_madagascariensis,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,JBFSEQ010000001.1
Eira_barbara,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,JAHRIH010000046.1
Equus_caballus,ARNTL,refseq,NP_001075390.1,,
Giraffa_tippelskirchi,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CM136061.1
Gorilla_gorilla_gorilla,ARNTL,refseq,XP_030863535.1,,
Homo_sapiens,ARNTL,refseq,NP_001338744.1,,
Hyaena_hyaena,ARNTL,refseq,XP_039096790.1,,
Hylobates_pileatus,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CM038527.1
Ictidomys_tridecemlineatus,ARNTL,refseq,XP_077902579.1,,
Jaculus_jaculus,ARNTL,refseq,XP_045000957.1,,
Lagorchestes_hirsutus,ARNTL,miniprot,,Macrotis_lagotis__ARNTL__XP_074086440.1,CM052677.1
Leopardus_geoffroyi,ARNTL,refseq,XP_045340525.1,,
Macrotis_lagotis,ARNTL,refseq,XP_074086440.1,,
Martes_flavigula,ARNTL,miniprot,,Pan_troglodytes__ARNTL__XP_016775903.2,CM081913.1
Microcebus_murinus,ARNTL,refseq,XP_075858275.1,,
